nk,n_keep,n_shell,partner,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,raw_partner_alignment_error_mean,best_partner_alignment_error_mean,partner_min_singular_value_min,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,6,4,sewn_time_reversed_valley,fixed_frobenius_norm,-4.0,0.0,1.0,54756.19861666595,45294.94334504215,-0.1727887528836618,-17.27887528836618,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.0014252678116472828
9,6,4,sewn_time_reversed_valley,fixed_frobenius_norm,0.0,0.0,1.0,83373.63961543258,83610.06692915106,0.002835756179159432,0.2835756179159432,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.009711944250352201
9,6,4,sewn_time_reversed_valley,fixed_frobenius_norm,2.0,0.0,1.0,105213.0571617955,104929.5075469628,-0.0026950040468518566,-0.26950040468518566,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.010373077472960363
9,6,4,sewn_time_reversed_valley,fixed_frobenius_norm,4.0,0.0,1.0,113126.07388811003,109008.04535516616,-0.03640211660679482,-3.640211660679482,0.25236494041063345,0.7661199965109718,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.011127246947881404
9,6,4,time_reversed_valley,fixed_delta0,-4.0,0.0,1.0,54451.9117293335,42871.138523448106,-0.21267890948348056,-21.267890948348057,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.0018491102330717522
9,6,4,time_reversed_valley,fixed_delta0,0.0,0.0,1.0,83101.38494670735,85849.2326630109,0.033066208440036826,3.3066208440036826,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.01472409319949947
9,6,4,time_reversed_valley,fixed_delta0,2.0,0.0,1.0,100047.89677546633,99543.79982620981,-0.005038556186621745,-0.5038556186621745,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.019161058316159132
9,6,4,time_reversed_valley,fixed_delta0,4.0,0.0,1.0,96668.68539321618,99459.75992706747,0.02887258187590036,2.887258187590036,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.01211672629584404
9,6,4,time_reversed_valley,fixed_frobenius_norm,-4.0,0.0,1.0,54451.9117293335,45374.702800476196,-0.16670138183536665,-16.670138183536665,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.0009326713835402074
9,6,4,time_reversed_valley,fixed_frobenius_norm,0.0,0.0,1.0,83101.38494670735,84712.42092390025,0.01938639143289911,1.9386391432899108,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.010413651389521576
9,6,4,time_reversed_valley,fixed_frobenius_norm,2.0,0.0,1.0,100047.89677546633,94027.33590840269,-0.06017678593059639,-6.017678593059639,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.0135321313191807
9,6,4,time_reversed_valley,fixed_frobenius_norm,4.0,0.0,1.0,96668.68539321618,100121.62894650234,0.03571935978275431,3.571935978275431,0.7172267317955244,0.6951434771771384,1.4142414970353265,1.3810552857541343,0.001004974221194591,0.0,0.0,0.008431960220542671
9,6,4,tr_sewn,fixed_delta0,-4.0,0.0,1.0,36645.18688801494,36737.13806912066,0.0025092294217712308,0.2509229421771231,3.1067969413378836e-17,0.12482412463491739,0.0,0.0,1.0,0.0,0.0,1.5225719055308981e-15
9,6,4,tr_sewn,fixed_delta0,0.0,0.0,1.0,64352.19100410356,65517.1798413786,0.018103328248773254,1.8103328248773254,3.1067969413378836e-17,0.12482412463491739,0.0,0.0,1.0,0.0,0.0,1.9101916339611097e-15
9,6,4,tr_sewn,fixed_delta0,2.0,0.0,1.0,65235.7965572674,65552.96386598915,0.004861859982706385,0.48618599827063846,3.1067969413378836e-17,0.12482412463491739,0.0,0.0,1.0,0.0,0.0,1.5461326359326019e-15
9,6,4,tr_sewn,fixed_delta0,4.0,0.0,1.0,62258.04895533337,62688.24704036858,0.006909919155093647,0.6909919155093647,3.1067969413378836e-17,0.12482412463491739,0.0,0.0,1.0,0.0,0.0,1.3387743325531866e-15
