eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,interband_pairing_weight_mean,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,2.0,0.10824164708279772,0.9866283252330151,-0.006730838676336964,0.0,0.0,1.8248210267585983e-15,86388.19620152072,22211.54297764765,64034.25497486584,142.39824900724028,87559.00676287411,25481.77450355186,62055.77829120099,21.453968121254565
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,4.0,-6.0420300659872555e-18,1.1046472390728075,0.04972198529522188,0.0,0.0,9.443866504468254e-16,86395.18396883158,31989.38193550322,54405.802033328364,-5.568334908813846e-12,78210.65487055208,23122.964595471014,55087.69027508106,4.380423461600226e-12
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,4.0,0.030413556047206164,1.1092215440642281,0.051782869548056415,0.0,0.0,1.4334398864680255e-15,88787.69815370004,31900.351467275235,56875.78998546134,11.556700963454317,80045.05378463773,22380.56469668945,57715.60842254248,-51.11933459420143
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,4.0,0.1082416470827977,1.1316190961999426,0.061746067313143,0.0,0.0,1.4193124883791765e-15,93172.39902779466,31796.21978414289,61370.35096014086,5.828283510894241,82335.47784822136,20423.690621532114,61988.42329201988,-76.6360653306217
0.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,4.0,-6.0420300659872555e-18,1.1046472390728075,0.04972198529522188,0.0,0.0,9.443866504468254e-16,86395.18396883158,31989.38193550322,54405.802033328364,-5.568334908813846e-12,78210.65487055208,23122.964595471014,55087.69027508106,4.380423461600226e-12
0.5,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,4.0,0.030413556047206188,1.09990074110418,0.047574030118990154,0.0,0.0,1.4509372057614945e-15,86217.15680581516,31490.98547785799,54711.541898208416,14.629429748762496,78386.30667642115,22750.175925964344,55692.531151017334,-56.40040056051724
1.0,fixed_delta0,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,4.0,0.10824164708279772,1.0959893151511553,0.04579666244349763,0.0,0.0,1.0752023271591564e-15,86026.1486632034,30839.66788279038,55176.95364769723,9.527132715801729,78491.77676639937,22128.56453632414,56460.69473752289,-97.48250744764017
0.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,6.0,-6.0420300659872555e-18,1.1207711428932556,0.056946806022876155,0.0,0.0,9.005432782808873e-16,72422.16291963315,27156.383419831564,45265.77949980159,0.0,64618.15454373344,21968.845010741727,42649.30953299171,-1.1136669817627692e-13
0.5,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,6.0,0.030413556047206164,1.123058354109485,0.0579627751970584,0.0,0.0,1.2659248690248847e-15,74132.33625062372,27380.596032635047,46827.09755909515,-75.35734110647911,66009.33600588015,21594.190168786827,44427.993887287186,-12.848050193868106
1.0,fixed_frobenius_norm,tau0_sigma0,taux_sigmax,tr_sewn,7,3,6,196,1.0,6.0,0.1082416470827977,1.137239879061784,0.06421360578487342,0.0,0.0,1.1992535949358878e-15,77116.08335411019,27089.030559054834,50158.480993783836,-131.42819872848114,67809.86559997394,19914.381319640583,47911.645175506885,-16.160895173520416
