eta,normalization,m0,m1,partner,nk,n_shell,n_keep,dimension,delta0_meV,mu_meV,nu_proxy,interband_pairing_weight_mean,D_iso_raw,geom_fraction_total,anisotropy_ratio,anisotropy_norm,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error,Dxx_total_raw,Dxx_conv_raw,Dxx_geom_raw,Dxx_cross_raw,Dyy_total_raw,Dyy_conv_raw,Dyy_geom_raw,Dyy_cross_raw,matrix_hermitian,matrix_symmetric,matrix_real,matrix_trace_real,matrix_frobenius_norm
0.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,-6.0420300659872555e-18,84272.932417637,0.70812973521174,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,0.042196097855445536,90779.3566827103,0.7287637185768154,1.0045058680339032,0.002247869714805485,0.0,0.0,1.3595598093756558e-15,90983.4168493269,26699.013165407618,64346.68048897687,-62.276805057600335,90575.29651609372,22549.90596272269,67966.72260322921,58.667950141804035,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,-6.0420300659872555e-18,84272.932417637,0.70812973521174,1.0184396468006194,0.009135594829326509,0.0,0.0,1.1646352748916515e-15,85042.81578328375,26774.009768871965,58268.80601441178,1.9674783344475592e-12,83503.04905199025,22419.51642956572,61083.53262242454,-1.9303561017221335e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,0.0,-0.38095238095238115,0.042196097855445536,84493.12291425656,0.708373855653936,1.018565794178419,0.009197517480957556,0.0,0.0,1.5780352681647567e-15,85270.24988928113,26822.13788816724,58470.43409390772,-22.3220927938284,83715.99593923199,22419.521474507572,61235.004416119955,61.470048604460246,True,True,True,0.0,2.0
0.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,-6.0420300659872555e-18,85951.42475477903,0.7275329265712619,1.0098998639628693,0.004925550839806493,0.0,0.0,1.2507769109230617e-15,86374.78286716249,22669.884391229152,63704.898475933325,1.4106448435661744e-12,85528.06664239556,24167.981928700872,61360.084713694676,3.4894898761900102e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,0.042196097855445536,93737.55384641705,0.7489242209055501,1.0040657833981446,0.0020287674345951185,0.0,0.0,1.4553428547927875e-15,93927.72554305928,21917.784921432038,71926.3817550959,83.55886653131886,93547.38214977484,24948.163688619796,68478.267212944,120.9512482110175,True,True,True,0.0,2.0
0.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,-6.0420300659872555e-18,85951.42475477903,0.7275329265712619,1.0098998639628693,0.004925550839806493,0.0,0.0,1.2507769109230617e-15,86374.78286716249,22669.884391229152,63704.898475933325,1.4106448435661744e-12,85528.06664239556,24167.981928700872,61360.084713694676,3.4894898761900102e-12,True,True,True,0.0,2.0
1.0,fixed_delta0,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,2.0,0.12244897959183687,0.042196097855445536,86430.36151549427,0.7272454433506085,1.009186000948347,0.004572001270171713,0.0,0.0,1.338317255616398e-15,86825.52123812451,22694.34443467042,64031.971947843434,99.20485561068146,86035.20179286403,24201.796056106905,61680.20121073455,153.20452602257836,True,True,True,0.0,2.0
0.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,-6.0420300659872555e-18,82302.91941969184,0.6651859562238807,1.1046472390728075,0.04972198529522188,0.0,0.0,9.443866504468254e-16,86395.18396883158,31989.38193550322,54405.802033328364,-5.568334908813846e-12,78210.65487055208,23122.964595471014,55087.69027508106,4.380423461600226e-12,True,True,True,0.0,2.0
1.0,fixed_frobenius_norm,tau0_sigma0,tau0_sigmaz,tr_sewn,7,3,6,196,1.0,4.0,0.6666666666666665,0.042196097855445536,89141.04753796491,0.6878051267272224,1.134596214830906,0.06305464888195171,0.0,0.0,1.2619091149939695e-15,94761.80499144066,33503.880709894634,61196.4460839605,61.47819758551271,83520.29008448917,22044.47778149285,61426.892912934134,48.91939006218962,True,True,True,0.0,2.0
