candidate,theta_deg,n_shell,nk,mesh_variant,band_selector,bandwidth_meV,D_total_eV_A2,D_conv_eV_A2,D_geom_eV_A2,geom_fraction,target_D_total_eV_A2,target_D_conv_eV_A2,target_D_geom_eV_A2,target_geom_fraction,D_total_relative_delta,D_conv_relative_delta,D_geom_relative_delta,geom_fraction_delta
current_tauz_tau0,1.05,3,14,gamma_centered,valence_conduction,11.122795363040794,32.823610843067456,20.233231289551252,12.5903795535162,0.3835769200930361,67.5,53.0,14.5,0.215,-0.513724283806408,-0.6182409190650707,-0.13169796182646898,0.16857692009303613
all_tauz,1.05,3,14,positive_half_shift,closest_abs,6.899558464969393,32.296771693707306,19.452328541553534,12.84444315215377,0.3977005279031148,67.5,53.0,14.5,0.215,-0.5215293082413732,-0.6329749331782353,-0.1141763343342227,0.18270052790311478
all_tauz,1.05,3,14,gamma_centered,valence_conduction,11.122795363040794,38.057477415594185,20.233231289551252,17.824246126042933,0.4683506983765399,67.5,53.0,14.5,0.215,-0.436185519768975,-0.6182409190650707,0.22925835352020218,0.2533506983765399
all_tauz,1.05,3,14,gamma_centered,central_pair,6.209030251584688,31.842639293895857,19.487259376198082,12.355379917697777,0.38801368830209587,67.5,53.0,14.5,0.215,-0.5282571956459873,-0.6323158608264513,-0.14790483326222226,0.17301368830209587
current_tauz_tau0,1.05,3,14,positive_half_shift,valence_conduction,11.234118020592025,30.88504589902148,18.2214111001586,12.66363479886288,0.4100248010077944,67.5,53.0,14.5,0.215,-0.542443764458941,-0.6561997905630452,-0.12664587594049104,0.19502480100779443
all_tauz,1.05,3,14,positive_half_shift,valence_conduction,11.234118020592025,35.73123703034957,18.2214111001586,17.509825930190967,0.4900425338008418,67.5,53.0,14.5,0.215,-0.47064834029111746,-0.6561997905630452,0.20757420208213562,0.27504253380084176
all_tauz,1.05,3,14,positive_half_shift,central_pair,6.187695623887809,29.07847084816547,17.40867957129747,11.669791276868,0.4013206656499351,67.5,53.0,14.5,0.215,-0.5692078392864375,-0.6715343477113684,-0.19518680849186199,0.18632066564993513
current_tauz_tau0,1.05,3,14,half_shift_centered,central_pair,5.992364739916093,29.342464480315314,20.945303834998196,8.397160645317118,0.28617775616463426,67.5,53.0,14.5,0.215,-0.5652968225138473,-0.6048055880189019,-0.4208854727367505,0.07117775616463426
current_tauz_tau0,1.05,3,14,half_shift_centered,closest_abs,6.981732757973662,30.43507485313693,23.429204657568583,7.005870195568346,0.23019066749054684,67.5,53.0,14.5,0.215,-0.5491100021757492,-0.5579395347628568,-0.5168365382366658,0.015190667490546844
current_tauz_tau0,1.05,3,14,gamma_centered,closest_abs,7.294602387142854,28.94029180784179,21.448563637829828,7.4917281700119585,0.25886843919044267,67.5,53.0,14.5,0.215,-0.5712549361801216,-0.5953101200409466,-0.4833290917233132,0.04386843919044267
current_tauz_tau0,1.05,3,14,positive_half_shift,closest_abs,6.899558464969393,27.605843358752878,19.452328541553534,8.153514817199342,0.2953546722423946,67.5,53.0,14.5,0.215,-0.5910245428332908,-0.6329749331782353,-0.43768863329659713,0.08035467224239459
current_tauz_tau0,1.05,3,14,gamma_centered,central_pair,6.209030251584688,26.910401265292847,19.487259376198082,7.423141889094766,0.2758465701018221,67.5,53.0,14.5,0.215,-0.6013273886623283,-0.6323158608264513,-0.4880591800624299,0.06084657010182212
current_tauz_tau0,1.05,3,14,positive_half_shift,central_pair,6.187695623887809,25.2312054918805,17.40867957129747,7.822525920583034,0.310033776352872,67.5,53.0,14.5,0.215,-0.6262043630832519,-0.6715343477113684,-0.46051545375289415,0.095033776352872
double_conv_half_curv_all_tauz,1.05,3,14,half_shift_centered,closest_abs,6.981732757973662,-440.5022399667311,-452.9878321599156,12.485592193184534,-0.028343992516649874,67.5,53.0,14.5,0.215,-7.525959110618238,-9.546940229432371,-0.13892467633210115,-0.24334399251664987
double_conv_half_curv_all_tauz,1.05,3,14,half_shift_centered,valence_conduction,11.439295792985588,-468.42283732336574,-486.5269256404563,18.10408831709056,-0.038649030052718775,67.5,53.0,14.5,0.215,-7.939597589975789,-10.179753313970874,0.24855781497176288,-0.25364903005271877
double_conv_half_curv_all_tauz,1.05,3,14,positive_half_shift,closest_abs,6.899558464969393,838.121893554339,825.2774504021852,12.84444315215377,0.01532526861657625,67.5,53.0,14.5,0.215,11.416620645249466,14.571272649097834,-0.1141763343342227,-0.19967473138342376
double_conv_half_curv_all_tauz,1.05,3,14,positive_half_shift,valence_conduction,11.234118020592025,870.074637286711,852.5648113565201,17.509825930190967,0.020124510219944554,67.5,53.0,14.5,0.215,11.889994626469793,15.086128516160755,0.20757420208213562,-0.19487548978005545
double_conv_half_curv_all_tauz,1.05,3,14,gamma_centered,valence_conduction,11.122795363040794,1037.7044202312375,1019.8801741051944,17.824246126042933,0.01717661193162409,67.5,53.0,14.5,0.215,14.373398818240554,18.243022152928198,0.22925835352020218,-0.1978233880683759
double_conv_full_curv_all_tauz,1.05,3,14,half_shift_centered,closest_abs,6.981732757973662,-940.348481441784,-952.8340736349685,12.485592193184534,-0.01327762254057248,67.5,53.0,14.5,0.215,-14.931088613952355,-18.978001389339028,-0.13892467633210115,-0.2282776225405725
double_conv_full_curv_all_tauz,1.05,3,14,half_shift_centered,valence_conduction,11.439295792985588,-1000.405013653401,-1018.5091019704917,18.10408831709056,-0.018096758882660775,67.5,53.0,14.5,0.215,-15.820815017087423,-20.217152867367766,0.24855781497176288,-0.23309675888266077
double_conv_half_curv_all_tauz,1.05,3,14,gamma_centered,closest_abs,7.294602387142854,-1273.116988833861,-1285.809554519869,12.692565686008074,-0.009969677411683983,67.5,53.0,14.5,0.215,-19.86099242716831,-25.260557632450357,-0.12465064234427081,-0.22496967741168397
