m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
taux_sigmaz,fixed_delta0,4.0,0.0,1.0,82302.91941969184,82495.55291833323,0.002340542717070404,0.2340542717070404,-6.0420300659872555e-18,0.03738285821352422,0.6651859562238807,0.6656703147469931,0.04972198529522188,0.049428686870600515,0.0,0.0,1.4504430742313012e-15
taux_sigmaz,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,65639.58180872609,0.07469345705692465,7.469345705692465,-6.0420300659872555e-18,0.03738285821352425,0.582254035574249,0.6095694333587963,0.10600650102664622,0.11179793147451278,0.0,0.0,1.3270864623711207e-15
taux_sigmaz,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,90760.25893574562,0.07697995467819885,7.697995467819885,-6.0420300659872555e-18,0.03738285821352425,0.70812973521174,0.729290880800038,0.009135594829326509,0.0022552671008127232,0.0,0.0,1.485606537922095e-15
taux_sigmaz,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,93440.02672653922,0.0871259783432945,8.71259783432945,-6.0420300659872555e-18,0.03738285821352425,0.7275329265712619,0.7498408138111367,0.004925550839806493,0.0024674120519990643,0.0,0.0,1.642856516863364e-15
taux_sigmaz,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,88869.7496130073,0.07978854504332777,7.978854504332777,-6.0420300659872555e-18,0.03738285821352425,0.6651859562238807,0.6890656720041473,0.04972198529522188,0.06321108138519,0.0,0.0,1.1657926633760745e-15
tauz_sigma0,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,60965.949095423886,-0.0018262641123738543,-0.18262641123738543,-6.0420300659872555e-18,0.004959166606115298,0.582254035574249,0.5817681478994008,0.10600650102664622,0.10419603781503228,0.0,0.0,1.6009921959278797e-15
tauz_sigma0,fixed_delta0,0.0,0.0,1.0,84272.932417637,84394.67310585952,0.0014446001192791602,0.14446001192791602,-6.0420300659872555e-18,0.004959166606115298,0.70812973521174,0.7049767011812729,0.009135594829326509,0.00933088348213948,0.0,0.0,1.635795304371106e-15
tauz_sigma0,fixed_delta0,2.0,0.0,1.0,85951.42475477903,85767.85326887244,-0.002135758498830298,-0.2135758498830298,-6.0420300659872555e-18,0.004959166606115298,0.7275329265712619,0.7281396160896543,0.004925550839806493,0.0043531595921688475,0.0,0.0,1.997631482370962e-15
tauz_sigma0,fixed_delta0,4.0,0.0,1.0,82302.91941969184,82139.16886968797,-0.0019896080377033165,-0.19896080377033165,-6.0420300659872555e-18,0.004959166606115298,0.6651859562238807,0.6636654043321627,0.04972198529522188,0.04795383304882182,0.0,0.0,1.7724191265726134e-15
tauz_sigma0,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,65467.93098164382,0.07188307929886273,7.188307929886273,-6.0420300659872555e-18,0.004959166606115324,0.582254035574249,0.6092953104359817,0.10600650102664622,0.10974532310751844,0.0,0.0,1.3930585090276724e-15
tauz_sigma0,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,90936.14833992775,0.07906709463092376,7.906709463092376,-6.0420300659872555e-18,0.004959166606115324,0.70812973521174,0.7249316752179281,0.009135594829326509,0.0033322520143505134,0.0,0.0,1.7124659079064621e-15
tauz_sigma0,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,93149.16047658626,0.0837419012231908,8.374190122319082,-6.0420300659872555e-18,0.004959166606115324,0.7275329265712619,0.7503690525897183,0.004925550839806493,0.0017790848604850905,0.0,0.0,1.5323458656859223e-15
tauz_sigma0,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,88564.08574563557,0.07607465652604395,7.607465652604395,-6.0420300659872555e-18,0.004959166606115324,0.6651859562238807,0.6880962207376263,0.04972198529522188,0.06140158398526194,0.0,0.0,1.862062007167209e-15
tauz_sigmax,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,60411.90865775377,-0.010897370553059171,-1.0897370553059171,-6.0420300659872555e-18,0.130369529618982,0.582254035574249,0.5852568296932563,0.10600650102664622,0.11447882863344779,0.0,0.0,1.5159091617818212e-15
tauz_sigmax,fixed_delta0,0.0,0.0,1.0,84272.932417637,84179.8513026094,-0.0011045197118133565,-0.11045197118133565,-6.0420300659872555e-18,0.130369529618982,0.70812973521174,0.7164670926805755,0.009135594829326509,0.02527004305606076,0.0,0.0,1.507081118269029e-15
tauz_sigmax,fixed_delta0,2.0,0.0,1.0,85951.42475477903,85092.10194694801,-0.009997772698738694,-0.9997772698738694,-6.0420300659872555e-18,0.130369529618982,0.7275329265712619,0.7289645617168568,0.004925550839806493,0.008840637555852116,0.0,0.0,1.5985145147708284e-15
tauz_sigmax,fixed_delta0,4.0,0.0,1.0,82302.91941969184,83648.42773875313,0.01634824534230761,1.634824534230761,-6.0420300659872555e-18,0.130369529618982,0.6651859562238807,0.6659413315664952,0.04972198529522188,0.06973617135302913,0.0,0.0,1.4121282408762135e-15
tauz_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,65003.140213899824,0.0642732258654497,6.42732258654497,-6.0420300659872555e-18,0.13036952961898202,0.582254035574249,0.6096482677331353,0.10600650102664622,0.11731404256240217,0.0,0.0,1.3270864623711207e-15
tauz_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,90294.00990249158,0.07144734747113723,7.1447347471137235,-6.0420300659872555e-18,0.13036952961898202,0.70812973521174,0.7351368834470721,0.009135594829326509,0.012147032733683527,0.0,0.0,1.480649369693832e-15
tauz_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,92745.70250096274,0.07904787809588854,7.9047878095888535,-6.0420300659872555e-18,0.13036952961898202,0.7275329265712619,0.7449882214844017,0.004925550839806493,0.0022332432894307842,0.0,0.0,1.3873032638812748e-15
tauz_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,89850.71496306022,0.09170750681247997,9.170750681247997,-6.0420300659872555e-18,0.13036952961898202,0.6651859562238807,0.6864192237485603,0.04972198529522188,0.08205422677399785,0.0,0.0,1.6714361135158532e-15
tauz_sigmaz,fixed_delta0,-4.0,0.0,1.0,61077.49272846766,61081.849131633186,7.132583495028655e-05,0.007132583495028655,-6.0420300659872555e-18,0.01085337772403446,0.582254035574249,0.582314255364681,0.10600650102664622,0.10649708939394098,0.0,0.0,1.340108167623542e-15
tauz_sigmaz,fixed_delta0,0.0,0.0,1.0,84272.932417637,84365.17005581359,0.0010945108415059135,0.10945108415059135,-6.0420300659872555e-18,0.01085337772403446,0.70812973521174,0.7085672546261481,0.009135594829326509,0.009757398902516893,0.0,0.0,1.7005273551891633e-15
tauz_sigmaz,fixed_delta0,2.0,0.0,1.0,85951.42475477903,86103.01148044872,0.0017636324947745141,0.1763632494774514,-6.0420300659872555e-18,0.01085337772403446,0.7275329265712619,0.7279951751261141,0.004925550839806493,0.005292201580463476,0.0,0.0,1.3332601314551808e-15
tauz_sigmaz,fixed_delta0,4.0,0.0,1.0,82302.91941969184,82403.18022426986,0.0012181925657674952,0.12181925657674952,-6.0420300659872555e-18,0.01085337772403446,0.6651859562238807,0.6650069330828902,0.04972198529522188,0.04948112161012714,0.0,0.0,1.579829034214619e-15
tauz_sigmaz,fixed_frobenius_norm,-4.0,0.0,1.0,61077.49272846766,65554.6052028331,0.07330216540271794,7.3302165402717945,-6.0420300659872555e-18,0.010853377724034474,0.582254035574249,0.609728577948799,0.10600650102664622,0.11184561303733664,0.0,0.0,1.6619812756362027e-15
tauz_sigmaz,fixed_frobenius_norm,0.0,0.0,1.0,84272.932417637,90723.57698303935,0.0765446790605846,7.65446790605846,-6.0420300659872555e-18,0.010853377724034474,0.70812973521174,0.7288233030760117,0.009135594829326509,0.002894305377432643,0.0,0.0,1.2177975245139053e-15
tauz_sigmaz,fixed_frobenius_norm,2.0,0.0,1.0,85951.42475477903,93489.30773787212,0.08769933720818246,8.769933720818246,-6.0420300659872555e-18,0.010853377724034474,0.7275329265712619,0.7495306127441086,0.004925550839806493,0.0026855611675579098,0.0,0.0,1.5477176884011577e-15
tauz_sigmaz,fixed_frobenius_norm,4.0,0.0,1.0,82302.91941969184,88799.45333261916,0.07893442855652766,7.893442855652766,-6.0420300659872555e-18,0.010853377724034474,0.6651859562238807,0.6885075715260961,0.04972198529522188,0.06334936133600216,0.0,0.0,1.441162944947019e-15
