nk,n_keep,n_shell,m0,m1,normalization,mu_meV,eta_baseline,eta_target,D_iso_baseline,D_iso_target,D_iso_rel_target_vs_baseline,D_iso_rel_percent,W_inter_baseline,W_inter_target,geom_fraction_baseline,geom_fraction_target,anisotropy_norm_baseline,anisotropy_norm_target,max_closure_error,max_bdg_hermiticity_error,max_ph_spectrum_error
9,4,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,17597.945661318103,16421.803777990142,-0.06683404449379726,-6.683404449379726,-9.594519965896419e-18,0.06875255130905575,0.21225480790586532,0.2044596445199122,0.031131895549958856,-0.0036688056826476197,0.0,0.0,1.7272945190394105e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,44655.740025810206,48457.858992035974,0.0851428945982804,8.514289459828039,-9.594519965896419e-18,0.06875255130905575,0.4570463189063798,0.5062002224259786,0.10510575685620502,0.11290934517273898,0.0,0.0,1.2328228481455598e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,58196.9390725524,64296.81672172013,0.10481440684643561,10.481440684643562,-9.594519965896419e-18,0.06875255130905575,0.6036777260441749,0.6220939703251718,0.0017550141289831955,0.013450768743178429,0.0,0.0,1.8148142456257872e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,59964.619222503665,64607.06661372491,0.07741977605152583,7.7419776051525835,-9.594519965896419e-18,0.06875255130905575,0.6845425251086348,0.7325659963061211,-0.02349409409856501,-0.015646581615009682,0.0,0.0,1.4534246367541153e-15
9,4,3,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,52039.75343133566,55510.78561387151,0.0666996277589158,6.66996277589158,-9.594519965896419e-18,0.06875255130905575,0.5299528236018854,0.584537007124003,-0.015532164597329695,-0.0137838792203998,0.0,0.0,1.139263831320554e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,1727.3718636913081,1745.6125837200123,0.010559810780826684,1.0559810780826684,1.370645709413766e-18,0.10026450303131601,0.16802939831336577,0.20290464042830153,0.03617654370524074,-0.024607581381183026,0.0,0.0,1.2001303926035784e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_delta0,-2.0,0.0,1.0,17195.50411700905,17344.652344355793,0.008673675766167843,0.8673675766167843,1.370645709413766e-18,0.10026450303131601,0.24531099641212958,0.24516870803200452,0.03323108026129388,0.0790402100117776,0.0,0.0,1.7718011692287259e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_delta0,0.0,0.0,1.0,40645.403774208506,41542.258382737404,0.022065338888280328,2.206533888828033,1.370645709413766e-18,0.10026450303131601,0.6126265950735338,0.6244755140975599,0.008929730549546398,0.04618630661067296,0.0,0.0,1.480601388486459e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_delta0,2.0,0.0,1.0,48088.29328017481,48142.35871956037,0.0011242952431387288,0.11242952431387288,1.370645709413766e-18,0.10026450303131601,0.5369367182766381,0.5504989800271667,-0.01711952930162032,-0.03310140337481844,0.0,0.0,1.2114385312130325e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_delta0,4.0,0.0,1.0,34188.59522183941,34061.76723309264,-0.0037096577944726317,-0.37096577944726317,1.370645709413766e-18,0.10026450303131601,0.4716347739060413,0.48149534513448444,-0.007630241229200755,-0.026390739006592057,0.0,0.0,1.185749882954267e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-4.0,0.0,1.0,1727.3718636913081,998.0474879923386,-0.4222161950354103,-42.22161950354103,1.370645709413766e-18,0.10026450303131605,0.16802939831336577,0.19461505850650282,0.03617654370524074,-0.030429310060694156,0.0,0.0,1.2013383907871948e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,-2.0,0.0,1.0,17195.50411700905,17780.450586720974,0.03401740744159509,3.4017407441595093,1.370645709413766e-18,0.10026450303131605,0.24531099641212958,0.22478275721889612,0.03323108026129388,0.05894159005486076,0.0,0.0,1.4330911912447233e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,0.0,0.0,1.0,40645.403774208506,47394.02043527558,0.16603640348996618,16.603640348996617,1.370645709413766e-18,0.10026450303131605,0.6126265950735338,0.6824911366980394,0.008929730549546398,0.04062683050756181,0.0,0.0,1.480601388486459e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,2.0,0.0,1.0,48088.29328017481,54005.43602446759,0.1230474683270204,12.30474683270204,1.370645709413766e-18,0.10026450303131605,0.5369367182766381,0.5907431576535578,-0.01711952930162032,-0.028449762039615707,0.0,0.0,1.209357088177312e-15
9,4,4,tau0_sigma0,taux_sigmax,fixed_frobenius_norm,4.0,0.0,1.0,34188.59522183941,38392.9072833439,0.12297410976449852,12.297410976449852,1.370645709413766e-18,0.10026450303131605,0.4716347739060413,0.5245201255088614,-0.007630241229200755,-0.011861202143138325,0.0,0.0,1.1218738933210448e-15
9,6,2,tau0_sigma0,taux_sigmax,fixed_delta0,-4.0,0.0,1.0,85965.9224345891,85438.13501334604,-0.006139495817597429,-0.6139495817597429,3.655055225103387e-18,0.08890033094954645,0.8861795649145141,0.8824633398735106,-0.0022069046153763076,-0.005653221734171415,0.0,0.0,1.3828090830707778e-15
